CATEGORY | DATE | TITLE | KEY_POINTS | NUMERICAL_IMPACT | SENTIMENT
STOCKS_IDX | 2026-06-24 | JCI Corrects to 7,050 Support Level | Heavy foreign selling in banking (BBRI -5% weekly). Technical support at 7,000. RSI oversold at 32. | JCI 7,050. Foreign flow -$120M YTD. Volume 15.2B shares. | NEGATIVE
STOCKS_IDX | 2026-06-21 | BBRI Dividen Yield Hits 8.2% | Bank Rakyat announces Rp 400/share dividend. Attractive for income investors. NIM pressure from falling yields. | BBRI price Rp 4,900. Div yield 8.2%. NIM 7.8%. | POSITIVE
STOCKS_IDX | 2026-06-17 | Tech Stocks Lead Recovery on AI Optimism | GOTO and BUKA jump on cost-cutting news. Valuations still stretched at 28x P/E. | GOTO +8% weekly. BUKA +6%. Tech P/E 28x. | POSITIVE
STOCKS_IDX | 2026-06-11 | IDX Energy Sector Surges 12% on Coal Rally | Coal prices jump 10% on supply concerns. Adaro and ITM lead. Hedge funds add long positions. | Coal $145/t. Energy index 2,850. | POSITIVE
STOCKS_IDX | 2026-06-07 | Foreign Inflows Resume into IDX Bonds | $350M流入 in local currency bonds. Higher yield spread over US Treasuries (240 bps) attracts carry trade. | Inflow $350M. Bond yield 6.85%. Spread 240 bps. | POSITIVE
STOCKS_US | 2026-06-24 | S&P 500 Hits New High at 5,500 | AI rally drives tech. Nvidia +15% post-earnings. Broadening concerns as only 40% of stocks above 200-day MA. | S&P 5,500. Nvidia $1,200. VIX 14.2. | POSITIVE
STOCKS_US | 2026-06-19 | US Banks Pass Stress Test but Warn on CRE | Commercial real estate exposure at $200B. Loan loss provisions rise 20% YoY. JPMorgan signals buyback. | CRE exposure $200B. Provisions $5.2B. | NEGATIVE
STOCKS_ASIA | 2026-06-22 | Japanese Nikkei Drops 5% on BoJ Hawkish Signals | BoJ hints at rate hike to 0.5% by Q3. Yen strengthens to 150/USD, hurting exporters. | Nikkei 38,000. USD/JPY 150. BoJ rate 0.25%. | NEGATIVE
STOCKS_ASIA | 2026-06-16 | India's Sensex Up 3% on FII Inflows | Modiji's reform agenda boosts sentiment. IT and pharma lead. Valuations at 22x P/E (premium to EM). | Sensex 75,000. FII inflow $2.5B in June. | POSITIVE
CRYPTO | 2026-06-24 | Bitcoin Tests $73,000 Resistance | ETF inflows strong ($200M daily avg). Halving supply impact fully priced. On-chain metrics show HODLing. | BTC $72,400. ETFs net inflow $4.5B YTD. | POSITIVE
CRYPTO | 2026-06-21 | Ethereum Pectra Upgrade Completed Successfully | Gas fees drop 35%. L2 transactions surge 50%. Staking yields at 4.2%. | ETH $3,800. Gas 15 gwei. L2 TVL $15B. | POSITIVE
CRYPTO | 2026-06-18 | Solana Outperforms with 15% Weekly Gain | Meme coin frenzy returns. Developer activity up 30%. DeFi protocol Marginfi TVL doubles. | SOL $172. TVL $5.2B. Active addresses 2.5M. | POSITIVE
CRYPTO | 2026-06-15 | US SEC Approves Spot Ethereum ETF Options | Increased institutional access. Expected $5B inflows in first 3 months. Volatility premium shrinks. | ETH options volume $2B. Implied vol 55%. | POSITIVE
CRYPTO_DEFI | 2026-06-23 | RWA Tokenization Market Surpasses $12B | BlackRock, Franklin Templeton lead. US Treasury tokens on-chain yield 5.0%. Indonesia explores nickel tokenization. | RWA TVL $12.5B. On-chain yields 4.5-5.5%. | POSITIVE
CRYPTO_DEFI | 2026-06-19 | DeFi Total Value Locked Hits $115B | Lido and Aave dominate. Restaking yields attract retail. Risks of leverage contagion monitored. | TVL $115B. Staked ETH 28% of supply. | NEUTRAL
CRYPTO_DEFI | 2026-06-12 | Stablecoin Supply Grows to $190B | USDC and USDT expand on Arbitrum and Base. Regulatory clarity in EU (MiCA) boosts adoption. | Stablecoin supply $190B. Daily txns 5M+. | POSITIVE
COMMODITIES | 2026-06-24 | Gold Surges to Record $2,455/oz | Central banks buying 40 tons weekly. China adds 20 tons to reserves. Physical demand in India strong. | Gold $2,455. Silver $29.80. Gold/Silver ratio 82. | POSITIVE
COMMODITIES | 2026-06-22 | Nickel Jumps 8% on Indonesian Supply Concern | Government reviews mining quotas. China's stainless steel demand recovers. EVs drive long-term demand. | Nickel $19,200. LME inventory 45K tons. | POSITIVE
COMMODITIES | 2026-06-20 | Oil Steady at $82/bbl Despite Geopolitics | OPEC+ maintains output cuts. US SPR refilling at $79/bbl provides floor. IEA sees demand peak by 2028. | WTI $82.50. Brent $86. OPEC+ compliance 95%. | NEUTRAL
COMMODITIES | 2026-06-18 | Copper Dips on China Demand Worry | Stimulus hopes fade. Global inventories rise 15%. Green transition long-term support. | Copper $10,200. Inventories 120K tons. | NEGATIVE
COMMODITIES | 2026-06-16 | Palm Oil Gains on Biodiesel Mandate | Indonesia raises B35 to B40 in 2027. CPO demand for biofuel rises. EUDR concerns cap upside. | CPO $4,150/t. Biodiesel demand 15M KL. | POSITIVE
COMMODITIES | 2026-06-14 | Coal Prices Surge 12% on Supply Disruption | Australia flood cuts production. China restarts imports. India power demand at record high. | Coal $145/t. Australian exports -10%. | POSITIVE
COMMODITIES | 2026-06-10 | Lithium Prices Bottom at $12,000/t | EV demand recovery in US. Mine closures in Australia reduce supply. Battery makers restock. | Lithium $12,000. Battery demand +18% YoY. | POSITIVE
INVESTMENT_STRATEGY | 2026-06-24 | Defensive Rotation: Utilities & Healthcare Overweight | Growth stocks overvalued at 28x P/E. Utilities trade at 16x with 5% yield. Healthcare at 19x with 3.5% yield. | Recommended weight: Utilities 25%, Healthcare 20%. | POSITIVE
INVESTMENT_STRATEGY | 2026-06-21 | Dollar-Cost Averaging into Gold Miners | Gold at record high but miners undervalued at 8x P/E. Hedge against geopolitical risk. | Gold miners P/E 8x vs historical 12x. | POSITIVE
INVESTMENT_STRATEGY | 2026-06-18 | Short-Term Play: Indonesian Bonds | Yield spread 240 bps over UST. BI rate on hold. Rupiah risk hedged via forward contracts. | IDR bond yield 6.85%. Carry return 4.5% annualized. | NEUTRAL
INVESTMENT_STRATEGY | 2026-06-14 | Long-Term AI Infrastructure Theme | Cloud spending up 25% YoY. Data center REITs yield 4.2%. Nvidia supply constraints easing. | AI TAM $1.5T by 2030. Data center CAGR 20%. | POSITIVE
BUSINESS_CORPORATE | 2026-06-24 | GoTo-Grab Merger Talks Advance | Deal could value merged entity at $20B. Focus on profitability after years of losses. Layoffs of 10% staff expected. | GoTo market cap 85T IDR. Synergies $1.5B/yr. | NEUTRAL
BUSINESS_CORPORATE | 2026-06-22 | Telkomsel Launches 5G SA Network | Investment of $1.2B. Coverage in 50 cities. Enterprise IoT and gaming monetization. | Capex $1.2B. ARPU +8% projected. | POSITIVE
BUSINESS_CORPORATE | 2026-06-20 | Unilever Indonesia Faces Margin Pressure | Raw material costs up 12%. Competition from local brands. CEO signals price hikes. | Gross margin 40% vs 45% prev. Net profit -5% YoY. | NEGATIVE
BUSINESS_CORPORATE | 2026-06-17 | BYD Enters Indonesian EV Market | Plant in Subang to produce 150K units/year by 2028. Price war with Hyundai and Toyota. | Investment $1.5B. Production target 150K units. | NEUTRAL
BUSINESS_CORPORATE | 2026-06-13 | DCI Indonesia (Data Center) IPO Oversubscribed | 20x oversubscribed. Data center demand boosted by AI and cloud. Listed at Rp 8,000/share. | IPO size $500M. Valuation 30x P/E. | POSITIVE
GLOBAL_TRADE | 2026-06-24 | US-China Tariff Phase 2 Collapses | Both sides impose additional 10% tariffs on EVs, solar, and semiconductors. WTO mediation fails. | New tariffs 10%. Trade volume -5% projected. | NEGATIVE
GLOBAL_TRADE | 2026-06-21 | EUDR Implementation Postponed to 2027 | Palm oil, cocoa, and coffee sectors get relief. But compliance costs remain $200/ton. | Implementation Jan 2027. Compliance cost $200/t. | POSITIVE
GLOBAL_TRADE | 2026-06-19 | Indonesia-EU CEPA Talks Stall | Disagreement on nickel export duties. EU demands removal of export bans. Indonesia insists on downstreaming. | Potential deal delayed to 2028. | NEGATIVE
GLOBAL_TRADE | 2026-06-16 | RCEP Boosts ASEAN Exports 8% YoY | China-ASEAN trade reaches $800B. Indonesia's electronics exports to ASEAN up 15%. | ASEAN exports +8%. Indonesia electronics +15%. | POSITIVE
GLOBAL_TRADE | 2026-06-12 | Global Shipping Costs Rise 20% on Red Sea Attacks | Houthi attacks continue. Rerouting via Cape adds 10 days. Insurance premiums double. | Shipping cost +20%. Insurance +100%. | NEGATIVE
GEOPOLITICS | 2026-06-24 | South China Sea Tensions Escalate | Philippines and China clash near Second Thomas Shoal. US reaffirms defense treaty. Risk of supply chain disruption. | Shipping delays +15%. Semiconductors lead times +2 weeks. | NEGATIVE
GEOPOLITICS | 2026-06-23 | Ukraine Counteroffensive Stalls | Russia gains ground in Donbas. Global grain prices rise 8%. Wheat supply concerns. | Wheat +8%. Corn +5%. Ukraine exports -20%. | NEGATIVE
GEOPOLITICS | 2026-06-20 | Middle East Ceasefire Talks Collapse | Israel-Hezbollah clashes escalate. Oil risk premium returns. Gold safe-haven demand spikes. | Oil +3% on news. Gold +2%. | NEGATIVE
GEOPOLITICS | 2026-06-18 | Taiwan Tech Supply Chain at Risk | China conducts military drills near Taiwan. TSMC contingency plans activated. Chip stocks drop 3%. | TSMC -3%. Semiconductor inventories +15%. | NEGATIVE
GEOPOLITICS | 2026-06-15 | Indonesia-China Nickel Deal Reaffirmed | China to invest $5B in Morowali Industrial Park. Environmental concerns raised by NGOs. | Investment $5B. Nickel output +20% by 2028. | NEUTRAL
MACRO_INDONESIA | 2026-06-25 | ASEAN Currency War - Competitive Devaluations | Rupiah weakness part of regional trend. Thai Baht -4.2% YTD, Ringgit -3.8% YTD, Peso -2.9% YTD. REER 8% above 10Y average. | USD/IDR 16,200. Regional FX coordination. | NEUTRAL
MACRO_INDONESIA | 2026-06-26 | Demographic Dividend Peak or Plateau | Working-age population peaked at 68.5% in 2024, declining to 67.8% by 2028. Dependency ratio bottomed at 46.2. | Retirement age raised to 62 by 2028. Pre-employment card targets 1.2M workers. | NEUTRAL
MACRO_INDONESIA | 2026-06-27 | Global South vs Developed Markets Decoupling | EM-local bonds attracted $45B in 2026 vs $15B hard currency. EM fintech adoption 80% vs US 60%. | China slowdown impact: 1% China GDP decline = 0.8% Indonesia export drop. | POSITIVE
MACRO_INDONESIA | 2026-06-28 | Shadow Banking System - Unseen Risk | Shadow banking $120B assets. P2P NPLs 5.2% vs 2.5% prev. Banks have $15B exposure to multi-finance. | P2P lending cap 24%. Loan loss provisions 15%. Stress test: 20% default = $2.5B provisioning. | NEGATIVE
MACRO_INDONESIA | 2026-06-29 | Climate Change and Agriculture Crisis | El Niño drought reduces rice production 5% (2.5M tons deficit). Palm oil FFB yields down 8%. | Rice imports 2M tons. Temperature rise 0.5°C/decade. Agricultural GDP -1-2% by 2030. | NEGATIVE
MACRO_INDONESIA | 2026-06-30 | Indonesian IPO Pipeline - Quality or Quantity | 35 IPOs in H2 2026 with IDR 50T fundraising. Top IPOs: Pertamina Geothermal ($1B), Merdeka Battery ($800M), Waskita Karya ($500M). | 2025 IPOs returned +12% avg, bottom quartile -18%. Selection criteria: EBITDA >15%, D/E <1.0. | NEUTRAL
MACRO_INDONESIA | 2026-07-01 | Global Derivatives Market - Hidden Volatility | Notional value $1.2 quadrillion. Non-centrally cleared 40%. IDX derivatives open interest 50,000 contracts. | Indonesian bank derivative exposure $10B. OJK considering retail investor caps. | NEGATIVE
MACRO_INDONESIA | 2026-07-02 | Rise of Private Credit in Indonesia | Private credit $25B (vs $5B in 2020). Sectors: property $8B, manufacturing $6B, startups $4B. Rates 12-15%. | Private credit default rate 5% in property. Systemic risk contained at 2% of GDP. | NEUTRAL
MACRO_INDONESIA | 2026-07-03 | EV Ecosystem - Beyond Nickel | Recycling market $10B by 2030. Charging stations 1,500 (target 10,000 by 2028). BYD plant 150K units/year. | EV sales 2% of new cars (target 20% by 2030). Battery components opportunity. | POSITIVE
MACRO_INDONESIA | 2026-07-04 | Indonesian Bond Market - Depth and Liquidity | Total bonds $350B (28% of GDP). Govt 85%, corporate 15%. Daily volume IDR 12T. | 10Y benchmark accounts for 40% turnover. Repo market only 5% of outstanding. | NEUTRAL
MACRO_INDONESIA | 2026-07-05 | Gender Gap in Indonesian Investing | Women hold 20% of financial assets vs 40% in developed. Financial literacy 42% vs 55% male. | Women generate 1.5% higher risk-adjusted returns. OJK targets 500K female investors by 2027. | POSITIVE
MACRO_INDONESIA | 2026-07-06 | Scarcity of Indonesian Talent - Growth Bottleneck | Shortage of 2M skilled workers: AI/Data 50K, green energy 30K, healthcare 200K. Skill shortages reduce GDP by 0.5%. | EdTech growing 25% YoY. Skilled wages +15% YoY. | NEGATIVE
MACRO_INDONESIA | 2026-07-07 | Future of Banking - Fintech Disruption | Fintech 20% of banking revenue (from 5% in 2020). Digital banks 20M users, +40% YoY. BCA transaction revenue -5%. | BCA MyBCA 15M users, Mandiri Livin' 12M. SME lending battleground. | NEUTRAL
MACRO_INDONESIA | 2026-07-08 | Indonesia and OECD - Accession Process | OECD accession could attract $10B FDI. Requires reforms: governance, ESG, labor, anti-corruption. | Timeline 3-5 years, decision 2029. Potential sovereign rating upgrade to A-, borrowing costs -50-100 bps. | POSITIVE
MACRO_INDONESIA | 2026-07-09 | Palm Oil Market - The Great Reset | Certified CPO 30M tons (premium $50-100), non-certified 50M tons facing restrictions. Indonesian CPO production 50M tons in 2026. | Certified margins 20% higher. EUDR compliance cost $50-100/ton. WTO lawsuit risk. | NEUTRAL
MACRO_INDONESIA | 2026-07-10 | Global Semiconductor Shortage 2.0 | AI demand 50% of advanced chips. TSMC Arizona yields 20% below Taiwan. | Chip lead times extended 6 months. Infineon Batam expansion 20%. Shortage eases Q1 2027. | NEUTRAL
MACRO_INDONESIA | 2026-07-11 | Rise of Indonesian Super-Aged | Super-aged (80+) growing 8% annually. Projected 5M by 2030 (from 3M today). Life expectancy 73 years. | Elderly consume 5x healthcare. Only 0.3 doctors per 1,000 population. | NEUTRAL
MACRO_INDONESIA | 2026-07-12 | Platform Economy - Regulation vs Innovation | Proposed Platform Economy Law: hybrid workers, 15% commission cap, data localization, 10% digital tax. | Platform costs +20%. Potential 15-25% valuation downside. Law expected Q1 2027. | NEGATIVE
MACRO_INDONESIA | 2026-07-13 | Global Tourism Recovery and Indonesia | International arrivals 1.2B (95% of 2019). Indonesia arrivals 10M (vs 16M in 2019). 10 Bali initiative. | Tourism revenue growth 12% YoY. Hospitality REITs and airlines opportunity. | POSITIVE
MACRO_INDONESIA | 2026-07-14 | Sukuk Market - Islamic Finance Growth | Sukuk outstanding $80B (2nd largest globally). 2026 issuance IDR 50T govt, IDR 10T corporate. | Govt Sukuk 6.5-7.0%, Corporate 8.5-10.0%. Trading volume 30% lower than conventional. | POSITIVE
MACRO_INDONESIA | 2026-07-15 | AI Arms Race - Winners and Losers | US/China AI R&D $50B in 2026. Battlegrounds: GPT-5 (2027), inference costs -80%, multimodal. | Winners: semiconductors, cloud, data centers. Losers: traditional software, BPO, education. | POSITIVE
MACRO_INDONESIA | 2026-07-16 | Global Shipping - New Era of Protectionism | US Chinese shipping ban proposed. EU carbon border tax. Protectionism could reduce global trade 2% in 2027. | Shipping costs +20-30%. Indonesian shipping companies benefit. Sea Toll program accelerates. | NEGATIVE
MACRO_INDONESIA | 2026-07-17 | Unpaid Domestic Work Economic Contribution | Unpaid work valued at IDR 3,000T ($200B) or 15% of GDP. Care economy services $10B growing 20%. | Female LFP 53% constrained. Care economy tax credits and paternity leave proposed. | POSITIVE
MACRO_INDONESIA | 2026-07-18 | ASEAN Digital Economy Framework (DEFA) | DEFA provisions: cross-border data flows, digital payments interoperability, e-commerce harmonization. | E-commerce cross-border $10B to $25B. QRIS expansion to ASEAN. Agreement 2027, implementation 2028. | POSITIVE
MACRO_INDONESIA | 2026-07-19 | Indonesian Pharmaceutical Industry - Post-COVID Reality | Pharmaceutical market $12B, +8% growth. Chronic diseases 60% of costs. Biosimilars and jamu growing. | Price caps could compress margins 10-15%. Consolidation: Kalbe, Kimia Farma, Bio Farma. | NEUTRAL
MACRO_INDONESIA | 2026-07-20 | Indonesian Maritime Sector - Blue Economy | Ocean economy $100B, target $200B by 2030. Sectors: fisheries, marine tourism, offshore energy, shipping. | 60% of fish stocks fully exploited. Sea Toll program subsidies. ESG certification critical. | POSITIVE
MACRO_INDONESIA | 2026-07-21 | Global ESG Bond Market | ESG bonds $3T: green $1.5T, social $500B, sustainability $1T. Indonesia issued $15B green Sukuk. | ESG yields 20-30 bps lower. Only 60% meet highest standards. OJK developing taxonomy. | POSITIVE
MACRO_INDONESIA | 2026-07-22 | Indonesian Startup Ecosystem - Beyond Unicorns | 6 unicorns, ecosystem $50B. Next wave: healthtech, agritech, edtech, fintech. VC funding -30% from 2025. | Tech P/E 28x vs global 22x. Profitability demanded. Late-stage VC and IPO pipeline. | NEUTRAL
MACRO_INDONESIA | 2026-07-23 | Chinese Slowdown and Indonesia's Growth | China 25% of Indonesia exports. 1% China GDP drop = 0.8% export drop. Exposed sectors: coal, nickel, palm. | Diversification: ASEAN +8%, US +6%, India +10%. China Plus One strategy. | NEGATIVE
MACRO_INDONESIA | 2026-07-24 | Global Debt Crisis - Sovereign Debt Distress | 25 countries in debt distress. EM debt $5T, refinancing $500B/year. Contagion risk but Indonesia strong. | Indonesia BBB rating, 30% external debt, 6.2 months import cover. Hedge FX exposure. | NEUTRAL
MACRO_INDONESIA | 2026-07-25 | Future of Work - Remote and Hybrid Models | 40% of white-collar workers remote 2+ days/week. Office occupancy 70%. Co-working spaces recovering. | Office real estate -20-30% from pre-pandemic. Digital nomad visas. Internet infrastructure upgrade. | NEUTRAL
MACRO_INDONESIA | 2026-07-26 | Carbon Market - Pricing Emissions | Global carbon market $300B. Indonesia launching carbon exchange 2027. Initial price $10-15/ton, target $25/ton by 2030. | Carbon market revenue $2-5B annually. High emitters face costs. Carbon offsets opportunity. | POSITIVE
MACRO_INDONESIA | 2026-07-27 | Global Migration - Brain Drain vs Brain Gain | Net migration -50K skilled workers annually. Remittances $10B. Brain drain sectors: tech, healthcare, finance. | Diaspora tax holiday 5 years. Remittance and real estate plays. Returning diaspora investment. | NEUTRAL
MACRO_INDONESIA | 2026-07-28 | Nuclear Energy - A New Frontier | First nuclear plant (150 MW) by 2030. Site Bangka-Belitung. Feasibility study 2027. | Cost $5-10B for large plant. Construction 2028-2035, operation 2036. High-risk long-term play. | NEUTRAL
MACRO_INDONESIA | 2026-07-29 | Indonesian Coffee Industry - Global Player | 4th largest producer (10M bags). 2nd largest Robusta. Export value $1.5B. 80% to US, EU, Japan. | Climate change could reduce production 20%. EUDR compliance cost $50/ton. Premium coffee opportunity. | POSITIVE
MACRO_INDONESIA | 2026-07-30 | Indonesian Aviation Sector - Recovery and Consolidation | Passenger traffic 85% of 2019. Garuda restructuring $5B debt. Lion Air, Citilink expanding fleets. | Fuel costs 60% of operating costs. Consolidation trends. Return to profitability by 2028. | NEUTRAL
MACRO_INDONESIA | 2026-07-31 | Global Water Crisis and Water Scarcity | 2B people face water scarcity. Indonesia has 20% of world's water but distribution uneven. Java water abundant, Eastern drought. | 1M hectares new irrigation, 50 new reservoirs by 2030. Water infrastructure investment. | POSITIVE
